name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Escherichia marmotae	1499973	S	1208	298	1506	0.00006
Escherichia fergusonii	564	S	1128	1793	2921	0.00011
Escherichia sp. E4742	2044467	S	1000	320	1320	0.00005
Escherichia sp. SCLE84	2725997	S	10	506	516	0.00002
Shigella flexneri	623	S	1484	69694	71178	0.00263
Shigella dysenteriae	622	S	793	3658	4451	0.00016
Shigella boydii	621	S	585	9092	9677	0.00036
Shigella sonnei	624	S	547	4840	5387	0.00020
Citrobacter freundii	546	S	260	578	838	0.00003
Citrobacter werkmanii	67827	S	59	130	189	0.00001
Citrobacter portucalensis	1639133	S	28	115	143	0.00001
Citrobacter braakii	57706	S	16	160	176	0.00001
Citrobacter farmeri	67824	S	203	30	233	0.00001
Citrobacter sp. RHB25-C09	2742624	S	60	16	76	0.00000
Citrobacter sp. R56	1573676	S	43	4	47	0.00000
Citrobacter amalonaticus	35703	S	87	40	127	0.00000
Citrobacter rodentium	67825	S	64	0	64	0.00000
Citrobacter koseri	545	S	32	41	73	0.00000
Citrobacter tructae	2562449	S	17	1	18	0.00000
Citrobacter arsenatis	2546350	S	12	2	14	0.00000
Citrobacter pasteurii	1563222	S	11	12	23	0.00000
Citrobacter cronae	1748967	S	11	132	143	0.00001
Enterobacter hormaechei	158836	S	245	816	1061	0.00004
Enterobacter roggenkampii	1812935	S	104	63	167	0.00001
Enterobacter cloacae	550	S	89	26	115	0.00000
Enterobacter asburiae	61645	S	26	18	44	0.00000
Enterobacter cancerogenus	69218	S	26	1	27	0.00000
Enterobacter ludwigii	299767	S	25	11	36	0.00000
Enterobacter kobei	208224	S	11	14	25	0.00000
Enterobacter chuandaensis	2497875	S	11	0	11	0.00000
Enterobacter sp. JUb54	2724468	S	106	11	117	0.00000
Enterobacter sp. SA187	1914861	S	20	1	21	0.00000
Enterobacter sp. RHBSTW-00994	2742676	S	18	5	23	0.00000
Enterobacter mori	539813	S	96	17	113	0.00000
Enterobacter soli	885040	S	17	0	17	0.00000
